0	0
38	0.031
1	0.1651586
37	0.1651617
39	0.1680427
75	0.1680458
76	0.19
114	0.221
77	0.2517486
113	0.2517507
115	0.2758956
151	0.2758974
2	0.329189
36	0.3291921
40	0.3306454
74	0.3306485
78	0.380086
112	0.3800887
116	0.3964926
150	0.3964952
3	0.4909708
35	0.4909737
41	0.4919485
73	0.4919514
79	0.5264525
111	0.5264553
117	0.5384174
149	0.5384201
4	0.6493987
34	0.6494016
42	0.6501382
72	0.6501411
80	0.676623
110	0.6766257
118	0.6859735
148	0.6859762
5	0.8033904
33	0.8033933
43	0.8039883
71	0.8039911
81	0.8255521
109	0.8255548
119	0.833233
147	0.8332357
6	0.9518943
32	0.9518971
44	0.952399
70	0.9524017
82	0.9706713
108	0.970674
120	0.9772123
146	0.9772149
7	1.093896
31	1.093898
45	1.094335
69	1.094338
83	1.110274
107	1.110276
121	1.115997
145	1.115999
8	1.228425
30	1.228427
46	1.228816
68	1.228818
84	1.243032
106	1.243034
122	1.248146
144	1.248149
9	1.354563
29	1.354565
47	1.354917
67	1.35492
85	1.367823
105	1.367825
123	1.372473
143	1.372475
10	1.471447
28	1.471449
48	1.471774
66	1.471776
86	1.483663
104	1.483665
124	1.487951
142	1.487953
11	1.57828
27	1.578282
49	1.578585
65	1.578587
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
1	0
39	0.031
2	0.1651586
0	0.1651586
40	0.1680427
38	0.1680427
77	0.19
115	0.221
78	0.2517486
76	0.2517486
116	0.2758956
114	0.2758956
3	0.329189
37	0.3291921
41	0.3306455
75	0.3306485
79	0.3800861
113	0.3800887
117	0.3964926
151	0.3964952
4	0.4909708
36	0.4909738
42	0.4919485
74	0.4919515
80	0.5264526
112	0.5264554
118	0.5384174
150	0.5384201
5	0.6493986
35	0.6494015
43	0.6501381
73	0.650141
81	0.6766229
111	0.6766257
119	0.6859734
149	0.6859762
6	0.8033904
34	0.8033933
44	0.8039883
72	0.8039912
82	0.8255521
110	0.8255548
120	0.833233
148	0.8332357
7	0.9518944
33	0.951897
45	0.952399
71	0.9524017
83	0.9706714
109	0.970674
121	0.9772123
147	0.9772149
8	1.093896
32	1.093898
46	1.094335
70	1.094338
84	1.110274
108	1.110276
122	1.115997
146	1.115999
9	1.228425
31	1.228427
47	1.228816
69	1.228818
85	1.243032
107	1.243034
123	1.248146
145	1.248148
10	1.354563
30	1.354565
48	1.354917
68	1.35492
86	1.367823
106	1.367825
124	1.372473
144	1.372475
11	1.471447
29	1.471449
49	1.471774
67	1.471776
87	1.483663
105	1.483665
125	1.487951
143	1.487953
12	1.57828
28	1.578282
50	1.578585
66	1.578587
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
-1	1.340781e+154
